nom,adresse,arrondissement,latitude,longitude,type_cuisine,specialite,prix_fourchette,categorie_prix,note_moyenne,nb_avis,ambiance,telephone,reservation_recommandee
Relais Petit de Paris,"96 rue du Faubourg Saint-Antoine, 75011 Paris",75011,48.895476,2.414259,Français,Fruits de mer,30-50,Moyenne gamme,4.9,772,Décontracté,0149968179,false
Boulay & Pons,"71 rue Vaugirard, 75011 Paris",75011,48.849165,2.263694,Chinois,Street food,20-30,Moyenne gamme,3.3,299,Familial,0152916796,false
Les Traditionnel du Palais,"103 boulevard Barbès, 75015 Paris",75015,48.903038,2.274549,Vietnamien,Gastronomique,30-50,Moyenne gamme,4.4,880,Terrasse,0177154398,false
Maison Parisien du Coin,"136 boulevard Voltaire, 75005 Paris",75005,48.83644,2.330154,Caribéen,,30-50,Moyenne gamme,4.0,819,Animé,0187791534,true
Restaurant Royal des Délices,"105 avenue Parmentier, 75010 Paris",75010,48.911151,2.407114,Marocain,Brasserie,30-50,Moyenne gamme,4.0,980,Branché,0134421285,true
Les Royal de Paris,"63 rue de Bretagne, 75013 Paris",75013,48.957291,2.251427,Italien,Pizza,100+,Haut de gamme,4.6,321,Cosy,0127973495,true
Les Brun,"43 rue de Turbigo, 75011 Paris",75011,48.921806,2.367705,Ramen,Indien,30-50,Moyenne gamme,4.7,451,Branché,0144442229,false
Olivier,"15 rue de Belleville, 75007 Paris",75007,48.839811,2.292584,Chinois,Street food,30-50,Moyenne gamme,3.2,835,Vue panoramique,0124242249,false
Briand & Chevalier,"20 rue Mouffetard, 75004 Paris",75004,48.837273,2.368319,Grecque,,100+,Haut de gamme,3.6,100,Familial,0110191831,false
Auberge Délicieux de la Seine,"100 rue de Ménilmontant, 75015 Paris",75015,48.829787,2.335902,Fruits de mer,Marocain,50-100,Haut de gamme,4.0,111,Moderne,0140494660,false
Normand & Gay,"68 avenue de la République, 75020 Paris",75020,48.953605,2.373999,Thaïlandais,,100+,Haut de gamme,4.3,890,Romantique,0153885710,false
Valentin & Poirier,"126 avenue Montaigne, 75003 Paris",75003,48.953879,2.347337,Africain,Brasserie,30-50,Moyenne gamme,4.9,135,Familial,0157842054,false
Café Grand des Délices,"80 boulevard Voltaire, 75012 Paris",75012,48.851933,2.294963,Sushi,Grecque,30-50,Moyenne gamme,3.5,335,Élégant,0127227135,true
Berthelot & Chauvin,"45 boulevard Raspail, 75011 Paris",75011,48.861693,2.379547,Tapas,Américain,20-30,Moyenne gamme,3.1,650,Festif,0172762441,true
Courtois & Germain,"36 rue Réaumur, 75012 Paris",75012,48.87213,2.391582,Marocain,Fruits de mer,30-50,Moyenne gamme,4.7,234,Romantique,0111242436,true
Table Parisien des Saveurs,"129 boulevard de Magenta, 75001 Paris",75001,48.851982,2.329285,Crêperie,Indien,20-30,Moyenne gamme,4.8,998,Historique,0113942664,true
Richard & Bonnin,"112 rue de Ménilmontant, 75010 Paris",75010,48.8323,2.346005,Marocain,Brasserie,50-100,Haut de gamme,4.6,642,Terrasse,0167319967,false
Ferrand & Coste,"29 boulevard Haussmann, 75020 Paris",75020,48.962558,2.312788,Brasserie,Vietnamien,20-30,Moyenne gamme,3.3,107,Branché,0128711146,true
Les Gourmand du Palais,"121 avenue de l'Opéra, 75010 Paris",75010,48.883995,2.403445,Bistrot,Italien,50-100,Haut de gamme,3.2,628,Convivial,0184521824,true
Caron & Duhamel,"31 rue de Turbigo, 75012 Paris",75012,48.966625,2.370914,Gastronomique,Libanais,50-100,Haut de gamme,3.6,225,Terrasse,0132485375,false
Gautier,"119 rue de Ménilmontant, 75018 Paris",75018,48.847446,2.260276,Français,Végétarien,30-50,Moyenne gamme,4.3,480,Branché,0118737743,false
Valette & Roussel,"67 rue Caulaincourt, 75020 Paris",75020,48.928483,2.383589,Américain,Burger,50-100,Haut de gamme,4.2,219,Terrasse,0159641646,true
Maison Grand du Palais,"18 avenue de Clichy, 75006 Paris",75006,48.863733,2.271323,Ramen,Espagnol,30-50,Moyenne gamme,4.6,484,Moderne,0185636676,false
Maison Grand de la Seine,"107 boulevard Barbès, 75011 Paris",75011,48.937217,2.37306,Végan,,30-50,Moyenne gamme,3.6,795,Intime,0153946686,true
Aubry & Jacob,"15 avenue de l'Opéra, 75012 Paris",75012,48.899918,2.268435,Marocain,Végétarien,10-20,Bon marché,4.0,116,Traditionnel,0123297032,false
Vallée & Masse,"33 boulevard de Clichy, 75002 Paris",75002,48.873282,2.276522,Thaïlandais,,20-30,Moyenne gamme,3.7,868,Cosy,0173704691,false
Raynaud & Reynaud,"79 rue Cler, 75009 Paris",75009,48.849737,2.347042,Mexicain,Ramen,20-30,Moyenne gamme,4.6,34,Décontracté,0126164519,true
Auberge Délicieux du Chef,"16 boulevard de Magenta, 75004 Paris",75004,48.840566,2.277335,Gastronomique,Italien,100+,Haut de gamme,3.8,983,Calme,0166315714,true
Meunier & Maurice,"50 avenue Montaigne, 75002 Paris",75002,48.888372,2.29633,Français,Crêperie,10-20,Bon marché,3.8,591,Terrasse,0190249652,false
Maréchal & Morel,"65 boulevard Voltaire, 75009 Paris",75009,48.934211,2.274443,Français,,20-30,Moyenne gamme,3.1,593,Terrasse,0172611448,true
Table Délicieux de Paris,"97 rue de la Gaîté, 75019 Paris",75019,48.830514,2.334195,Street food,Thaïlandais,100+,Haut de gamme,3.9,249,Branché,0144963744,false
Lefebvre,"12 rue Didot, 75015 Paris",75015,48.84982,2.341925,Indien,Pizza,100+,Haut de gamme,4.9,621,Festif,0174823461,true
Marques & Bailly,"9 rue Montorgueil, 75016 Paris",75016,48.835124,2.360996,Ramen,Africain,50-100,Haut de gamme,4.9,937,Convivial,0176172523,true
Grenier & Pottier,"127 rue du Cherche-Midi, 75002 Paris",75002,48.893311,2.31966,Africain,,50-100,Haut de gamme,4.3,654,Décontracté,0143458097,false
Becker & Lebrun,"27 rue de Passy, 75012 Paris",75012,48.813158,2.31554,Mexicain,Street food,20-30,Moyenne gamme,3.4,612,Historique,0117262548,false
Auberge Grand du Marché,"39 rue de Belleville, 75014 Paris",75014,48.91224,2.327928,Vietnamien,Végan,100+,Haut de gamme,4.5,785,Traditionnel,0135726914,true
L'Atelier Délicieux du Palais,"44 rue des Rosiers, 75015 Paris",75015,48.814455,2.350838,Sushi,Américain,30-50,Moyenne gamme,5.0,837,Terrasse,0111477855,false
Royer & Chauveau,"82 rue de Passy, 75008 Paris",75008,48.902473,2.279132,Libanais,Brasserie,100+,Haut de gamme,3.1,128,Branché,0172755324,true
Delattre & Texier,"46 boulevard Voltaire, 75003 Paris",75003,48.875324,2.384409,Mexicain,,20-30,Moyenne gamme,3.3,878,Élégant,0154417942,true
Imbert & Blanc,"100 rue Montorgueil, 75016 Paris",75016,48.884941,2.345136,Méditerranéen,Tapas,30-50,Moyenne gamme,4.7,961,Intime,0176764065,true
L'Atelier Savoureux des Délices,"56 rue de Passy, 75004 Paris",75004,48.870904,2.290559,Libanais,,50-100,Haut de gamme,4.0,401,Convivial,0113791271,false
Relais Parisien du Marché,"72 rue de la Gaîté, 75001 Paris",75001,48.940083,2.3348,Caribéen,Burger,50-100,Haut de gamme,4.6,281,Élégant,0197243770,true
Cordier & Traore,"129 rue de Belleville, 75009 Paris",75009,48.927841,2.255062,Crêperie,Méditerranéen,50-100,Haut de gamme,4.5,138,Calme,0141608375,true
Vallée & Thierry,"45 rue Caulaincourt, 75003 Paris",75003,48.886048,2.377697,Street food,,100+,Haut de gamme,4.0,655,Vue panoramique,0119957413,false
L'Assiette Gourmand de la Place,"46 boulevard de Grenelle, 75005 Paris",75005,48.917216,2.370849,Sushi,Indien,20-30,Moyenne gamme,4.0,626,Traditionnel,0127597239,false
Blondel & Besson,"46 avenue Montaigne, 75005 Paris",75005,48.831604,2.408498,Thaïlandais,,20-30,Moyenne gamme,3.3,61,Cosy,0160898434,false
Lefèvre & Buisson,"65 place Vendôme, 75004 Paris",75004,48.838205,2.34878,Coréen,Ramen,10-20,Bon marché,3.8,569,Terrasse,0132478551,false
Leroux & François,"2 rue du Cherche-Midi, 75015 Paris",75015,48.955136,2.272883,Indien,Bistrot,50-100,Haut de gamme,4.5,938,Historique,0118972175,true
L'Atelier Traditionnel des Gourmets,"31 boulevard Voltaire, 75003 Paris",75003,48.857837,2.403972,Coréen,Crêperie,10-20,Bon marché,4.6,969,Animé,0165849895,false
Lacombe,"118 rue de la Pompe, 75012 Paris",75012,48.823445,2.314301,Japonais,,100+,Haut de gamme,3.8,854,Vue panoramique,0184666117,false
Hardy & Colas,"2 rue de la Roquette, 75007 Paris",75007,48.879794,2.296168,Pizza,,30-50,Moyenne gamme,4.2,882,Vue panoramique,0129653525,true
Les Philippe,"114 rue de Buci, 75004 Paris",75004,48.839976,2.330572,Chinois,Fruits de mer,100+,Haut de gamme,4.9,563,Calme,0181511174,false
L'Atelier Traditionnel de la Seine,"23 rue de Buci, 75011 Paris",75011,48.95195,2.314722,Marocain,,30-50,Moyenne gamme,5.0,77,Authentique,0119879690,false
Bodin & Chauvin,"22 rue du Temple, 75012 Paris",75012,48.82501,2.31767,Burger,Africain,20-30,Moyenne gamme,3.6,120,Historique,0162798328,false
Bousquet & Denis,"31 boulevard de Magenta, 75018 Paris",75018,48.956448,2.304781,Chinois,,100+,Haut de gamme,4.9,447,Décontracté,0157478687,true
Bazin & Martinez,"87 boulevard Haussmann, 75007 Paris",75007,48.872989,2.251844,Africain,,10-20,Bon marché,4.6,434,Authentique,0198475920,true
Valentin & Cohen,"6 rue de la Gaîté, 75008 Paris",75008,48.88987,2.380202,Japonais,Ramen,30-50,Moyenne gamme,4.0,437,Intime,0140193223,true
Auberge Impérial des Saveurs,"36 rue Saint-Maur, 75014 Paris",75014,48.817971,2.314092,Indien,,30-50,Moyenne gamme,3.2,450,Décontracté,0188351888,false
Reynaud & Coste,"142 boulevard de la Villette, 75015 Paris",75015,48.949094,2.327019,Caribéen,Pizza,50-100,Haut de gamme,4.9,24,Cosy,0187289156,true
Les Marty,"1 boulevard de Clichy, 75013 Paris",75013,48.864368,2.307171,Bistrot,Espagnol,100+,Haut de gamme,4.7,934,Traditionnel,0116398769,true
Goncalves & Poirier,"108 boulevard Voltaire, 75002 Paris",75002,48.909875,2.277279,Japonais,Crêperie,10-20,Bon marché,4.2,411,Animé,0162961737,false
Jacquet,"39 rue de Belleville, 75020 Paris",75020,48.931788,2.31958,Brasserie,Mexicain,20-30,Moyenne gamme,4.9,558,Intime,0189842387,true
Collin & Girard,"148 rue Cler, 75005 Paris",75005,48.819699,2.387298,Américain,Ramen,50-100,Haut de gamme,3.4,424,Décontracté,0174732219,true
Maison Impérial de la Seine,"129 avenue de la République, 75005 Paris",75005,48.847041,2.325935,Caribéen,Sushi,10-20,Bon marché,4.2,758,Authentique,0129765251,false
Chez Bon du Chef,"19 avenue de Wagram, 75009 Paris",75009,48.80384,2.382263,Italien,Brasserie,50-100,Haut de gamme,3.3,941,Élégant,0180567343,true
Jourdan & Jean,"120 avenue des Champs-Élysées, 75007 Paris",75007,48.90961,2.349072,Brésilien,Sushi,20-30,Moyenne gamme,3.1,473,Authentique,0183877251,true
Labbé & Leclerc,"91 boulevard Haussmann, 75020 Paris",75020,48.810633,2.258478,Végétarien,Espagnol,30-50,Moyenne gamme,4.9,427,Cosy,0156154425,false
Café Grand de la Place,"54 rue de Belleville, 75001 Paris",75001,48.969867,2.30474,Vietnamien,Sushi,10-20,Bon marché,3.6,272,Authentique,0132888317,false
Lejeune & Blanchet,"130 rue du Faubourg Saint-Antoine, 75020 Paris",75020,48.939968,2.291757,Méditerranéen,Ramen,30-50,Moyenne gamme,3.6,960,Moderne,0146275839,true
Lefebvre & Valette,"88 rue Saint-Honoré, 75019 Paris",75019,48.93509,2.31895,Burger,,100+,Haut de gamme,3.4,64,Élégant,0147213615,true
Payet,"124 boulevard de la Villette, 75007 Paris",75007,48.890324,2.265644,Espagnol,,10-20,Bon marché,4.9,730,Authentique,0124802922,false
Jourdan & Giraud,"5 rue de la Convention, 75007 Paris",75007,48.804636,2.386412,Espagnol,Bistrot,50-100,Haut de gamme,5.0,691,Convivial,0124962094,false
Petit & Hubert,"148 boulevard de Magenta, 75016 Paris",75016,48.953598,2.352973,Sushi,Vietnamien,50-100,Haut de gamme,4.2,334,Calme,0155644944,false
Mendès & Lacombe,"48 avenue de Clichy, 75013 Paris",75013,48.811954,2.357725,Coréen,Sushi,10-20,Bon marché,4.3,247,Convivial,0199438928,true
Mallet & Lévêque,"124 rue Lepic, 75008 Paris",75008,48.898002,2.316506,Africain,Bistrot,30-50,Moyenne gamme,4.6,980,Moderne,0179951632,false
Chez Parisien de la Place,"94 boulevard de Magenta, 75010 Paris",75010,48.940017,2.343392,Mexicain,Pizza,50-100,Haut de gamme,4.2,14,Authentique,0144175623,false
Turpin & Hernandez,"4 rue du Faubourg Saint-Antoine, 75005 Paris",75005,48.804429,2.417435,Brésilien,Street food,100+,Haut de gamme,3.1,362,Traditionnel,0190867740,false
Ferrand & Chauvin,"34 rue Caulaincourt, 75003 Paris",75003,48.836483,2.259493,Indien,,100+,Haut de gamme,3.9,619,Festif,0167515524,true
Relais Gourmand des Délices,"45 rue Oberkampf, 75006 Paris",75006,48.963533,2.409245,Grecque,Burger,20-30,Moyenne gamme,3.6,600,Intime,0181329189,false
Guilbert & Jourdan,"41 rue Saint-Honoré, 75019 Paris",75019,48.835367,2.324629,Street food,,30-50,Moyenne gamme,4.7,43,Moderne,0148194873,true
Raynaud & Carre,"143 rue de Bretagne, 75006 Paris",75006,48.912886,2.365087,Grecque,,100+,Haut de gamme,3.7,448,Moderne,0173656384,true
Léger & Pottier,"2 rue de Turbigo, 75004 Paris",75004,48.908998,2.303213,Vietnamien,,10-20,Bon marché,3.8,623,Vue panoramique,0145531822,true
Andre & Marques,"129 rue Didot, 75001 Paris",75001,48.942675,2.367746,Libanais,Bistrot,100+,Haut de gamme,4.0,375,Familial,0179164898,true
Baron & Riou,"57 rue Caulaincourt, 75006 Paris",75006,48.908698,2.276843,Italien,,10-20,Bon marché,3.8,791,Authentique,0152109091,true
L'Assiette Royal du Marché,"45 boulevard Voltaire, 75010 Paris",75010,48.900319,2.33012,Coréen,,20-30,Moyenne gamme,4.8,397,Calme,0151224775,true
Chez Vieux du Coin,"85 rue de la Roquette, 75012 Paris",75012,48.906644,2.352501,Gastronomique,Caribéen,30-50,Moyenne gamme,3.4,657,Calme,0152749447,false
Le Impérial de la Place,"12 rue Saint-Honoré, 75018 Paris",75018,48.872017,2.254327,Mexicain,,50-100,Haut de gamme,3.5,74,Cosy,0120468764,true
Café Impérial du Palais,"27 rue de Belleville, 75015 Paris",75015,48.925018,2.278565,Pizza,Vietnamien,100+,Haut de gamme,4.0,805,Convivial,0136439647,true
Roche,"42 avenue des Champs-Élysées, 75017 Paris",75017,48.893022,2.279592,Végan,,20-30,Moyenne gamme,4.1,958,Vue panoramique,0151448214,false
Chez Impérial du Marché,"147 rue de Buci, 75015 Paris",75015,48.9159,2.265755,Brésilien,,10-20,Bon marché,5.0,885,Authentique,0184589413,false
Julien & Bazin,"71 rue Oberkampf, 75007 Paris",75007,48.861963,2.414798,Végan,Caribéen,30-50,Moyenne gamme,4.6,579,Animé,0158865056,false
Joly & Mace,"119 rue de la Paix, 75014 Paris",75014,48.842811,2.254866,Indien,,50-100,Haut de gamme,4.2,682,Cosy,0157598296,false
Poirier & Humbert,"109 rue Oberkampf, 75001 Paris",75001,48.961752,2.329787,Espagnol,Végan,20-30,Moyenne gamme,3.1,648,Traditionnel,0156855984,true
Chevallier & Gallet,"52 rue de Buci, 75016 Paris",75016,48.815056,2.383188,Africain,Pizza,100+,Haut de gamme,4.4,258,Historique,0177731024,false
L'Assiette Nouveau des Saveurs,"84 avenue de la République, 75006 Paris",75006,48.885548,2.38122,Chinois,Fruits de mer,30-50,Moyenne gamme,3.2,936,Authentique,0111956922,true
Da Silva & Guillon,"62 rue des Rosiers, 75017 Paris",75017,48.80921,2.297927,Italien,,10-20,Bon marché,3.4,980,Décontracté,0132167428,true
Maison Authentique des Délices,"26 rue de la Pompe, 75009 Paris",75009,48.94715,2.281684,Méditerranéen,Sushi,10-20,Bon marché,4.6,154,Festif,0189851211,false
Chez Royal du Coin,"58 boulevard de la Villette, 75004 Paris",75004,48.920226,2.35865,Méditerranéen,Burger,30-50,Moyenne gamme,3.1,921,Familial,0153957083,true
Torres & Joubert,"58 rue Lepic, 75008 Paris",75008,48.957664,2.332706,Gastronomique,Grecque,100+,Haut de gamme,3.3,176,Familial,0120905229,false
Diaz & Ollivier,"142 place Vendôme, 75010 Paris",75010,48.845531,2.3277,Japonais,Brasserie,10-20,Bon marché,4.3,437,Décontracté,0115752723,false
Leconte & Pelletier,"111 rue Daguerre, 75011 Paris",75011,48.846047,2.407083,Marocain,Street food,20-30,Moyenne gamme,3.2,722,Calme,0152159122,true
Guillou & Ribeiro,"139 rue du Temple, 75019 Paris",75019,48.913662,2.372651,Indien,,10-20,Bon marché,4.7,549,Moderne,0175848542,true
Arnaud & Cousin,"38 avenue de la République, 75002 Paris",75002,48.899756,2.410024,Américain,,30-50,Moyenne gamme,5.0,705,Cosy,0167566239,false
Pereira & Georges,"84 boulevard Haussmann, 75010 Paris",75010,48.950855,2.378555,Mexicain,Sushi,30-50,Moyenne gamme,4.0,539,Branché,0147503050,true
Rodriguez & Traore,"82 avenue des Champs-Élysées, 75018 Paris",75018,48.874267,2.353592,Français,Végan,50-100,Haut de gamme,4.9,310,Élégant,0119408622,true
Poirier & Pages,"88 boulevard de Clichy, 75017 Paris",75017,48.827909,2.303947,Marocain,Brasserie,20-30,Moyenne gamme,4.5,461,Cosy,0156422930,true
Bazin,"135 boulevard de Magenta, 75007 Paris",75007,48.901864,2.308741,Chinois,Brasserie,20-30,Moyenne gamme,3.4,895,Authentique,0128156648,false
Blanc & Louis,"13 boulevard de Magenta, 75002 Paris",75002,48.800109,2.30805,Burger,Caribéen,100+,Haut de gamme,4.8,970,Authentique,0136385730,true
Monnier & Hubert,"94 avenue de Wagram, 75018 Paris",75018,48.894651,2.308933,Sushi,Grecque,20-30,Moyenne gamme,3.3,99,Convivial,0187455722,false
L'Atelier Nouveau du Coin,"82 rue du Cherche-Midi, 75007 Paris",75007,48.948187,2.364747,Burger,Brésilien,10-20,Bon marché,4.5,465,Élégant,0190114416,false
Lelièvre,"21 boulevard de Magenta, 75015 Paris",75015,48.881621,2.29065,Coréen,Fruits de mer,30-50,Moyenne gamme,4.3,13,Convivial,0193957331,true
Georges,"22 rue des Martyrs, 75012 Paris",75012,48.942129,2.362038,Caribéen,,50-100,Haut de gamme,4.9,89,Familial,0128482482,false
Charrier & Mathieu,"42 rue de la Roquette, 75010 Paris",75010,48.958778,2.346131,Vietnamien,Végétarien,50-100,Haut de gamme,3.8,606,Branché,0155287936,true
Bazin & Weber,"130 avenue Parmentier, 75012 Paris",75012,48.879351,2.316275,Coréen,Végétarien,10-20,Bon marché,4.8,59,Familial,0157454712,false
Laporte & Léger,"36 rue du Cherche-Midi, 75016 Paris",75016,48.932384,2.417592,Français,,10-20,Bon marché,3.4,890,Vue panoramique,0178547049,true
Fernandes,"140 rue de la Roquette, 75012 Paris",75012,48.945057,2.415262,Coréen,Végétarien,20-30,Moyenne gamme,3.2,616,Branché,0178303462,true
Maison Petit de la Place,"53 rue Réaumur, 75003 Paris",75003,48.827212,2.4193,Coréen,Brasserie,10-20,Bon marché,3.7,402,Authentique,0196478132,false
Lejeune & Colas,"87 rue de Bretagne, 75009 Paris",75009,48.838302,2.419837,Espagnol,,50-100,Haut de gamme,4.2,314,Intime,0155861636,true
Auger & Arnaud,"41 boulevard de Clichy, 75014 Paris",75014,48.899967,2.297174,Coréen,,20-30,Moyenne gamme,3.3,943,Historique,0159197348,false
Les Thomas,"131 rue de Belleville, 75016 Paris",75016,48.815627,2.381281,Burger,Grecque,10-20,Bon marché,3.2,399,Festif,0140828757,true
Chez Marc,"66 rue de Rivoli, 75003 Paris",75003,48.886993,2.307528,Américain,Tapas,50-100,Haut de gamme,4.2,817,Familial,0177638013,false
Les Roy,"83 boulevard de Clichy, 75018 Paris",75018,48.924307,2.394185,Brésilien,Sushi,50-100,Haut de gamme,3.5,367,Moderne,0130908492,false
Salmon & Leroux,"136 rue des Martyrs, 75016 Paris",75016,48.929704,2.289537,Africain,Brasserie,100+,Haut de gamme,3.7,836,Authentique,0176926571,false
Camus & Ledoux,"113 avenue de Clichy, 75020 Paris",75020,48.909227,2.354875,Chinois,Street food,20-30,Moyenne gamme,4.4,886,Décontracté,0146627119,false
Blanc & Dumont,"87 rue des Martyrs, 75007 Paris",75007,48.936273,2.345114,Chinois,Végétarien,20-30,Moyenne gamme,4.5,647,Intime,0188925934,true
Gilbert & Antoine,"15 place Vendôme, 75007 Paris",75007,48.964073,2.355702,Végétarien,Espagnol,50-100,Haut de gamme,3.2,710,Romantique,0118464962,true
Gilbert & Martel,"41 rue de Bretagne, 75019 Paris",75019,48.924101,2.381438,Tapas,Italien,20-30,Moyenne gamme,3.9,345,Convivial,0111598238,true
Thomas,"117 rue Saint-Honoré, 75007 Paris",75007,48.879094,2.385947,Sushi,Méditerranéen,10-20,Bon marché,4.2,113,Convivial,0143626885,true
Joubert & Bourgeois,"56 boulevard de la Villette, 75004 Paris",75004,48.964811,2.358335,Sushi,Indien,50-100,Haut de gamme,3.7,183,Historique,0149621620,true
Foucher & Besson,"121 rue Daguerre, 75002 Paris",75002,48.80055,2.404769,Brésilien,Gastronomique,20-30,Moyenne gamme,3.3,654,Terrasse,0158197911,true
Lebrun & Boulay,"11 rue de Rivoli, 75016 Paris",75016,48.960465,2.257112,Français,Fruits de mer,20-30,Moyenne gamme,3.3,129,Décontracté,0199608137,false
Les Authentique des Délices,"18 rue Réaumur, 75013 Paris",75013,48.806743,2.416725,Américain,,10-20,Bon marché,3.0,401,Authentique,0165887671,false
Jean,"109 rue Lepic, 75006 Paris",75006,48.824795,2.260695,Indien,Street food,50-100,Haut de gamme,3.5,148,Festif,0174905925,true
Langlois & Dumont,"6 rue Cler, 75011 Paris",75011,48.912774,2.38477,Mexicain,,100+,Haut de gamme,3.8,344,Familial,0130453020,false
Gaudin & Pruvost,"89 rue de Belleville, 75011 Paris",75011,48.854459,2.335542,Libanais,Pizza,20-30,Moyenne gamme,3.8,260,Intime,0132392494,true
Schneider & Brun,"32 boulevard de Magenta, 75007 Paris",75007,48.872303,2.374446,Indien,Végan,20-30,Moyenne gamme,4.2,662,Élégant,0111402377,true
François & Lambert,"72 avenue de l'Opéra, 75017 Paris",75017,48.839167,2.368655,Fruits de mer,Méditerranéen,100+,Haut de gamme,3.0,943,Animé,0188171548,false
Léger & Charpentier,"107 rue de Passy, 75015 Paris",75015,48.966727,2.257066,Bistrot,Coréen,10-20,Bon marché,4.3,980,Vue panoramique,0193498886,true
Pineau & Petitjean,"32 rue de la Pompe, 75010 Paris",75010,48.96092,2.29167,Street food,Américain,30-50,Moyenne gamme,4.3,879,Traditionnel,0148625469,true
Dijoux & Godard,"29 avenue de Wagram, 75007 Paris",75007,48.930477,2.322462,Brésilien,Street food,20-30,Moyenne gamme,4.3,188,Convivial,0169372832,false
Les Hardy,"66 rue Réaumur, 75018 Paris",75018,48.809962,2.401679,Indien,Pizza,100+,Haut de gamme,4.5,306,Vue panoramique,0198495390,true
Roche & Gaillard,"107 rue de Turbigo, 75019 Paris",75019,48.865892,2.337498,Marocain,Gastronomique,20-30,Moyenne gamme,5.0,230,Élégant,0141495241,true
Moreau & Dumas,"95 avenue de l'Opéra, 75020 Paris",75020,48.934697,2.263258,Fruits de mer,Espagnol,100+,Haut de gamme,4.1,125,Animé,0139916991,true
Petitjean & Payet,"124 rue de Rivoli, 75004 Paris",75004,48.841369,2.296466,Végan,Japonais,30-50,Moyenne gamme,4.5,551,Cosy,0191582937,true
Peron & Simon,"87 boulevard Saint-Germain, 75019 Paris",75019,48.911441,2.352612,Bistrot,Brésilien,30-50,Moyenne gamme,3.0,918,Authentique,0187272557,true
Bistrot Bon Gourmand,"4 boulevard Saint-Germain, 75005 Paris",75005,48.894114,2.391816,Espagnol,Végétarien,50-100,Haut de gamme,3.7,589,Moderne,0128679262,false
Roy & Denis,"114 rue de la Pompe, 75008 Paris",75008,48.846975,2.295243,Chinois,Burger,10-20,Bon marché,4.5,479,Festif,0139867470,false
Mendès & Gilles,"75 rue Mouffetard, 75019 Paris",75019,48.923728,2.398254,Coréen,Sushi,30-50,Moyenne gamme,4.5,919,Cosy,0146357435,false
Brasserie Traditionnel de la Place,"35 rue du Temple, 75018 Paris",75018,48.949111,2.272709,Crêperie,,10-20,Bon marché,3.7,301,Historique,0143418184,true
Valentin,"72 rue Cler, 75004 Paris",75004,48.896198,2.392157,Chinois,Street food,100+,Haut de gamme,3.8,122,Historique,0167775145,true
Guibert,"113 rue de Bretagne, 75020 Paris",75020,48.924267,2.251427,Coréen,,50-100,Haut de gamme,4.2,879,Animé,0140825340,false
Denis & Lévy,"53 rue Didot, 75016 Paris",75016,48.819885,2.325634,Marocain,Crêperie,20-30,Moyenne gamme,3.6,553,Historique,0114253822,false
L'Atelier Délicieux des Délices,"51 rue de la Pompe, 75005 Paris",75005,48.880851,2.327794,Street food,Chinois,30-50,Moyenne gamme,3.2,449,Moderne,0149388073,false
L'Atelier Délicieux de la Place,"132 boulevard de Magenta, 75019 Paris",75019,48.87217,2.297706,Italien,,30-50,Moyenne gamme,4.1,799,Décontracté,0152653071,true
Reynaud & Boutin,"137 avenue de la République, 75016 Paris",75016,48.900287,2.396425,Indien,Brasserie,50-100,Haut de gamme,3.7,332,Calme,0160946627,true
Lemonnier,"97 rue de Belleville, 75019 Paris",75019,48.871463,2.389674,Indien,,100+,Haut de gamme,3.6,885,Terrasse,0176528245,true
Peltier,"22 rue Montorgueil, 75011 Paris",75011,48.911576,2.251663,Caribéen,Végétarien,20-30,Moyenne gamme,3.8,873,Élégant,0122761560,false
Dupré & Dijoux,"64 rue des Martyrs, 75008 Paris",75008,48.810512,2.324837,Chinois,Fruits de mer,20-30,Moyenne gamme,4.2,101,Vue panoramique,0155612135,false
Brasserie Authentique de la Seine,"116 boulevard Barbès, 75016 Paris",75016,48.834109,2.279754,Végan,Mexicain,50-100,Haut de gamme,4.6,776,Intime,0122743622,true
Maurice & Lemaire,"51 boulevard Saint-Germain, 75011 Paris",75011,48.968046,2.322706,Vietnamien,Gastronomique,50-100,Haut de gamme,3.8,67,Authentique,0117335312,true
Noël,"148 rue de Ménilmontant, 75012 Paris",75012,48.944055,2.285561,Vietnamien,,50-100,Haut de gamme,3.2,58,Vue panoramique,0175886257,true
Gautier & Mahe,"66 boulevard Barbès, 75009 Paris",75009,48.848201,2.393444,Tapas,,10-20,Bon marché,3.4,288,Romantique,0196433582,true
Les Royal du Coin,"40 rue de Rivoli, 75017 Paris",75017,48.897869,2.287466,Coréen,Gastronomique,100+,Haut de gamme,3.2,230,Élégant,0171208222,false
Merle,"137 rue de la Gaîté, 75020 Paris",75020,48.964087,2.323277,Grecque,Végan,100+,Haut de gamme,4.9,486,Intime,0168631123,false
Renaud & Pelletier,"82 rue Mouffetard, 75005 Paris",75005,48.857289,2.377409,Mexicain,Végan,30-50,Moyenne gamme,3.3,540,Calme,0131752361,false
Fischer & Lejeune,"126 rue du Faubourg Saint-Antoine, 75003 Paris",75003,48.933181,2.308587,Brésilien,,100+,Haut de gamme,3.5,255,Festif,0127729664,false
Collet & Renard,"95 rue Saint-Honoré, 75003 Paris",75003,48.842812,2.367849,Fruits de mer,Grecque,30-50,Moyenne gamme,3.2,229,Cosy,0168317022,false
Fournier & Lévy,"45 rue du Commerce, 75003 Paris",75003,48.870689,2.3579,Burger,Espagnol,30-50,Moyenne gamme,3.0,216,Moderne,0161117049,false
